,year,format,otrasl,value
94,2013,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,4120.1495825
95,2013,Трансграничная(out-in),МЕТАЛЛУРГИЯ,5983.093583333334
96,2013,Трансграничная(out-in),ПИЩЕВАЯ,663.6831933333333
97,2013,Трансграничная(out-in),СМИ,234.41925
98,2013,Трансграничная(out-in),СВЯЗЬ,358.88775
99,2013,Трансграничная(out-in),СЕЛЬХОЗ,2253.7970760000003
100,2013,Трансграничная(out-in),Страхование,4075.7555200000006
101,2013,Трансграничная(out-in),СТРОИТЕЛЬСТВО,2804.152825
102,2013,Трансграничная(out-in),ТЭК,2494.5648250000004
103,2013,Трансграничная(out-in),ТОРГОВЛЯ,5782.488084545454
104,2013,Трансграничная(out-in),УСЛУГИ,1145.017
105,2013,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,481.0476099999999
106,2013,Трансграничная(out-in),НЕФТЕХИМ,1227.669685
107,2013,Трансграничная(out-in),ЭЛЕКТРОЭНЕРГЕТИКА,1097.9583166666669
108,2014,Внутренняя,IT,1624.2653252380956
109,2014,Внутренняя,ДОБЫЧА,1143.6993371428573
110,2014,Внутренняя,ЛЕГКАЯ,132.6738
111,2014,Внутренняя,ЛЕСНАЯ,2127.36879
112,2014,Внутренняя,МАШИНОСТРОЕНИЕ,1020.7181076470588
113,2014,Внутренняя,МЕТАЛЛУРГИЯ,3668.687734
114,2014,Внутренняя,ПИЩЕВАЯ,566.7470144444445
115,2014,Внутренняя,Прочие производства,907.6371580000001
116,2014,Внутренняя,СМИ,2407.6383500000006
117,2014,Внутренняя,СВЯЗЬ,3518.9037705882347
118,2014,Внутренняя,СЕЛЬХОЗ,1558.8489641666665
119,2014,Внутренняя,Страхование,640.8870171428572
120,2014,Внутренняя,СТРОИТЕЛЬСТВО,2576.529332307692
121,2014,Внутренняя,ТЭК,16341.693241666668
122,2014,Внутренняя,ТОРГОВЛЯ,1478.2372162222218
123,2014,Внутренняя,ТранСПОРТ,804.0753085714286
124,2014,Внутренняя,УСЛУГИ,1493.3980789999998
125,2014,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,2786.830331842106
126,2014,Внутренняя,НЕФТЕХИМ,4227.6268625
127,2014,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,1488.2458792857144
128,2014,Трансграничная(in-out),IT,2557.591667142857
129,2014,Трансграничная(in-out),ДОБЫЧА,10987.84239
130,2014,Трансграничная(in-out),ЛЕГКАЯ,3161.0475
131,2014,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,642.9883024999999
132,2014,Трансграничная(in-out),МЕТАЛЛУРГИЯ,4950.486056666667
133,2014,Трансграничная(in-out),ПИЩЕВАЯ,1174.02006
134,2014,Трансграничная(in-out),СПОРТ,2327.7167149999996
135,2014,Трансграничная(in-out),СТРОИТЕЛЬСТВО,3580.921906666667
136,2014,Трансграничная(in-out),ТЭК,133658.52860333334
137,2014,Трансграничная(in-out),ТОРГОВЛЯ,1085.2466
138,2014,Трансграничная(in-out),ТранСПОРТ,2481.8035200000004
139,2014,Трансграничная(in-out),УСЛУГИ,4125.434882
140,2014,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,10990.889376666668
141,2014,Трансграничная(in-out),НЕФТЕХИМ,7572.594333333333
142,2014,Трансграничная(in-out),ЭЛЕКТРОЭНЕРГЕТИКА,9600.80928
143,2014,Трансграничная(out-in),IT,552.1728
144,2014,Трансграничная(out-in),ДОБЫЧА,708.1347812500001
145,2014,Трансграничная(out-in),ЛЕСНАЯ,4267.8181125
146,2014,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,4773.827085
147,2014,Трансграничная(out-in),МЕТАЛЛУРГИЯ,41682.409920000006
148,2014,Трансграничная(out-in),ПИЩЕВАЯ,2004.2096799999997
149,2014,Трансграничная(out-in),СВЯЗЬ,49670.47570000001
150,2014,Трансграничная(out-in),СЕЛЬХОЗ,152.93803999999997
151,2014,Трансграничная(out-in),СПОРТ,3704.4696700000004
152,2014,Трансграничная(out-in),СТРОИТЕЛЬСТВО,2864.582634
153,2014,Трансграничная(out-in),ТЭК,17396.647875000002
154,2014,Трансграничная(out-in),ТОРГОВЛЯ,2355.7300355555562
155,2014,Трансграничная(out-in),ТранСПОРТ,171.51605999999998
156,2014,Трансграничная(out-in),УСЛУГИ,44.31792
157,2014,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,1309.1209375
158,2014,Трансграничная(out-in),НЕФТЕХИМ,8557.86201
159,2015,Внутренняя,IT,1119.3124108333334
160,2015,Внутренняя,ДОБЫЧА,51111.84305142857
161,2015,Внутренняя,ЛЕГКАЯ,496.79475
162,2015,Внутренняя,ЛЕСНАЯ,148.16875000000002
163,2015,Внутренняя,МАШИНОСТРОЕНИЕ,1716.4653420000002
164,2015,Внутренняя,МЕТАЛЛУРГИЯ,3094.0992171428575
165,2015,Внутренняя,ПИЩЕВАЯ,1079.8199662499999
166,2015,Внутренняя,Прочие производства,999.2388000000001
167,2015,Внутренняя,СМИ,1671.527546363636
168,2015,Внутренняя,СВЯЗЬ,941.7110406250001
169,2015,Внутренняя,СЕЛЬХОЗ,1852.7274313793102
170,2015,Внутренняя,Страхование,847.0429266666666
171,2015,Внутренняя,СТРОИТЕЛЬСТВО,10345.247219824567
172,2015,Внутренняя,ТЭК,14854.129911875001
173,2015,Внутренняя,ТОРГОВЛЯ,2633.452543333334
174,2015,Внутренняя,ТранСПОРТ,8303.503570454546
175,2015,Внутренняя,УСЛУГИ,2670.9334838709674
176,2015,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,4110.259788333335
177,2015,Внутренняя,НЕФТЕХИМ,3517.7568300000003
178,2015,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,2749.3102822222227
179,2015,Трансграничная(in-out),IT,443.37074500000006
180,2015,Трансграничная(in-out),ДОБЫЧА,662.393
181,2015,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,402.9790633333334
182,2015,Трансграничная(in-out),МЕТАЛЛУРГИЯ,4481.989364999999
183,2015,Трансграничная(in-out),ПИЩЕВАЯ,895.0633
184,2015,Трансграничная(in-out),СЕЛЬХОЗ,899.4888
185,2015,Трансграничная(in-out),СПОРТ,33074.16926
186,2015,Трансграничная(in-out),СТРОИТЕЛЬСТВО,503.1033
187,2015,Трансграничная(in-out),ТЭК,41053.128014
188,2015,Трансграничная(in-out),ТОРГОВЛЯ,5103.712966666666
189,2015,Трансграничная(in-out),ТранСПОРТ,63.12740999999999
190,2015,Трансграничная(in-out),УСЛУГИ,268.16023
191,2015,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,1492.31354
192,2015,Трансграничная(in-out),ЭЛЕКТРОЭНЕРГЕТИКА,18439.3231
193,2015,Трансграничная(out-in),IT,17920.373158000002
194,2015,Трансграничная(out-in),ДОБЫЧА,644.08632
195,2015,Трансграничная(out-in),ЛЕСНАЯ,649.48108
196,2015,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,1352.96719
197,2015,Трансграничная(out-in),МЕТАЛЛУРГИЯ,3337.51705
198,2015,Трансграничная(out-in),ПИЩЕВАЯ,772.1958766666667
199,2015,Трансграничная(out-in),СВЯЗЬ,12990.20816
200,2015,Трансграничная(out-in),СЕЛЬХОЗ,8527.697474
201,2015,Трансграничная(out-in),Страхование,131.093485
202,2015,Трансграничная(out-in),СТРОИТЕЛЬСТВО,12379.300285714286
203,2015,Трансграничная(out-in),ТЭК,36313.86566666667
