t,def,gdp_
2013,1,1289.14939999999
2014,1.075,408.890697674433
2015,1.161,-1971.47286821707
2016,1.193508,497.072160387703
2017,1.256763924,1216.0974474312
2018,1.3824403164,1854.95892269537
