year,format,otrasl,value_outin,merge_index
2016,Трансграничная(out-in),ДОБЫЧА,6482.097720000002,2016ДОБЫЧА
2016,Трансграничная(out-in),ЛЕСНАЯ,2824.37613,2016ЛЕСНАЯ
2016,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,878.9422500000002,2016МАШИНОСТРОЕНИЕ
2016,Трансграничная(out-in),МЕТАЛЛУРГИЯ,20048.3088,2016МЕТАЛЛУРГИЯ
2016,Трансграничная(out-in),НЕФТЕХИМ,11269.085055,2016НЕФТЕХИМ
2016,Трансграничная(out-in),ПИЩЕВАЯ,359.2427600000001,2016ПИЩЕВАЯ
2016,Трансграничная(out-in),Прочие производства,660.8249999999998,2016Прочие производства
2016,Трансграничная(out-in),СВЯЗЬ,4579.338473333332,2016СВЯЗЬ
2016,Трансграничная(out-in),СМИ,500.84620250000006,2016СМИ
2016,Трансграничная(out-in),СТРОИТЕЛЬСТВО,2067.445568333333,2016СТРОИТЕЛЬСТВО
2016,Трансграничная(out-in),ТОРГОВЛЯ,7713.614776666667,2016ТОРГОВЛЯ
2016,Трансграничная(out-in),ТЭК,3381.7214700000004,2016ТЭК
2016,Трансграничная(out-in),ТранСПОРТ,754.1922400000001,2016ТранСПОРТ
2016,Трансграничная(out-in),УСЛУГИ,3643.5799025,2016УСЛУГИ
2016,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,4815.541323333334,2016ФИНАНСОВЫЕ ИНСТИТУТЫ
2016,Трансграничная(out-in),ЭЛЕКТРОЭНЕРГЕТИКА,966.0967400000001,2016ЭЛЕКТРОЭНЕРГЕТИКА
2017,Трансграничная(out-in),IT,1342.9568057142858,2017IT
2017,Трансграничная(out-in),ДОБЫЧА,4212.5709,2017ДОБЫЧА
2017,Трансграничная(out-in),ЛЕСНАЯ,2152.2541,2017ЛЕСНАЯ
2017,Трансграничная(out-in),МЕТАЛЛУРГИЯ,879.3660179999998,2017МЕТАЛЛУРГИЯ
2017,Трансграничная(out-in),НЕФТЕХИМ,1724.5462300000002,2017НЕФТЕХИМ
2017,Трансграничная(out-in),ПИЩЕВАЯ,1617.9861219999998,2017ПИЩЕВАЯ
2017,Трансграничная(out-in),Прочие производства,1276.3718,2017Прочие производства
2017,Трансграничная(out-in),СВЯЗЬ,29351.335000000006,2017СВЯЗЬ
2017,Трансграничная(out-in),СТРОИТЕЛЬСТВО,1663.3567915,2017СТРОИТЕЛЬСТВО
2017,Трансграничная(out-in),ТОРГОВЛЯ,1744.6052674999994,2017ТОРГОВЛЯ
2017,Трансграничная(out-in),ТЭК,17529.284626,2017ТЭК
2017,Трансграничная(out-in),ТранСПОРТ,2991.3495000000007,2017ТранСПОРТ
2017,Трансграничная(out-in),УСЛУГИ,902.6740300000001,2017УСЛУГИ
2017,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,1820.4068571428575,2017ФИНАНСОВЫЕ ИНСТИТУТЫ
2017,Трансграничная(out-in),ЭЛЕКТРОЭНЕРГЕТИКА,6249.6217,2017ЭЛЕКТРОЭНЕРГЕТИКА
2018,Трансграничная(out-in),IT,104226.30150000002,2018IT
2018,Трансграничная(out-in),ДОБЫЧА,21978.928596666665,2018ДОБЫЧА
2018,Трансграничная(out-in),ЛЕСНАЯ,4001.0266,2018ЛЕСНАЯ
2018,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,8829.762762499999,2018МАШИНОСТРОЕНИЕ
2018,Трансграничная(out-in),МЕТАЛЛУРГИЯ,3048.7387,2018МЕТАЛЛУРГИЯ
2018,Трансграничная(out-in),ПИЩЕВАЯ,100448.8,2018ПИЩЕВАЯ
2018,Трансграничная(out-in),Прочие производства,265.52019,2018Прочие производства
2018,Трансграничная(out-in),СВЯЗЬ,2458.7392,2018СВЯЗЬ
2018,Трансграничная(out-in),СЕЛЬХОЗ,16019.0685,2018СЕЛЬХОЗ
2018,Трансграничная(out-in),СТРОИТЕЛЬСТВО,2463.449392857143,2018СТРОИТЕЛЬСТВО
2018,Трансграничная(out-in),ТОРГОВЛЯ,5383.691523333334,2018ТОРГОВЛЯ
2018,Трансграничная(out-in),ТЭК,65.74520333333334,2018ТЭК
2018,Трансграничная(out-in),ТранСПОРТ,1161.2088633333333,2018ТранСПОРТ
2018,Трансграничная(out-in),УСЛУГИ,4382.19758,2018УСЛУГИ
2018,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,272.79868,2018ФИНАНСОВЫЕ ИНСТИТУТЫ
