Показатель,Тип,Пол,Возраст,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019
 Активные клиенты,Дебетовые карты,1,60-69,7429407.7864637,7425757.03306906,7474342.16254169,7482074.94519334,7588343.03842325,7570387.61376337,7590250.5168192,7583644.21009978,7636936.55019418,7675922.65275465,7770416.7054089,7842294.01068546,7877989.50939488
 Активные клиенты,Дебетовые карты,1,От 70,1914723.12040347,1932209.64601348,1963526.28610316,1983214.61842318,2040675.97987698,2050669.53589152,2067785.6885215,2085782.57047019,2116639.90381953,2140356.26156108,2179492.75408643,2216816.08186643,2246688.53001103
 Объем транзакций cash,Дебетовые карты,0,0-13,33697519.1807221,32217636.3665356,29374933.4707134,31328918.8993335,22101177.6494068,23359512.1975213,24322143.6533047,22495316.8159192,21998947.5618545,37217878.0271066,30977167.3451085,32428906.282046,29152996.5287329
 Объем транзакций cash,Дебетовые карты,0,14-21,27662648415.7968,28838848247.817,26966668391.7441,30991699229.1898,21561335478.6685,24364702138.2133,25992888376.8998,27399059779.198,25791418594.4599,28513378723.8937,29331536718.0278,29511937128.8905,29480271921.1013
 Объем транзакций cash,Дебетовые карты,0,22-29,112487503767.404,117812853956.014,109481349310.503,127855015335.869,85177506795.061,95269994253.5348,102802432093.747,109529460365.778,104296072752.02,112157979381.95,118129260241.395,113415678459.563,106724049399.897
 Объем транзакций cash,Дебетовые карты,0,30-39,247674915773.155,262722226360.554,247002117004.375,297046507099.084,190817574552.808,218913070521.243,238747631876.468,258299776146.399,248057574270.195,269432313928.367,282635231877.48,270000442467.759,253906609229.636
 Объем транзакций cash,Дебетовые карты,0,40-54,306202385828.782,327079135930.626,309634364585.88,388608820828.137,236632508914.2,278160673534.655,300589952763.648,323211976444.855,309629205777.363,345236006998.853,358948851165.173,337983113774.63,316633566900.767
 Объем транзакций cash,Дебетовые карты,0,55-59,118148324428.413,125631592000.672,118352905931.563,146004372594.201,89140508983.2253,104228700486.789,111928103964.273,119662258001.013,113335466044.516,123504923713.456,126045241006.502,119327126139.477,112430455875.787
 Объем транзакций cash,Дебетовые карты,0,60-69,139445034362.212,150376287692.045,143752940045.182,181395052739.432,110768017676.933,133952272544.694,144165244263.679,155485575035.521,146045487065.815,157995689877.859,162553842491.508,155975597801.236,150444845907.583
 Объем транзакций cash,Дебетовые карты,0,От 70,45130761942.9527,49165348490.7648,47525230732.2781,58161095043.3144,39090788934.7395,46997812798.2679,50456504559.9429,54784607072.8018,50478057169.2231,54083770015.4068,56279489001.945,55276011852.2968,54450786977.9266
 Объем транзакций cash,Дебетовые карты,1,0-13,119959639.092812,118624470.88913,106916342.6649,118698306.513805,84340098.5949115,90055401.3162033,91220650.1004706,89685374.6838753,77975874.8898405,102104247.593223,96286977.9006881,81028569.4232986,83457738.0442657
 Объем транзакций cash,Дебетовые карты,1,14-21,34687846169.4508,37579462879.3809,35807298916.7167,41885520804.9952,27795060323.1852,31709863464.4964,33984716189.0751,35961073275.0027,34054672319.7136,36827019224.5228,37878492637.9918,38757405955.8394,38622233745.6694
 Объем транзакций cash,Дебетовые карты,1,22-29,167989401126.443,179056906700.993,167780293968.008,194918777986.576,130891318705.795,143178499493.324,154515709221.299,162806660299.474,156210019405.729,165400772975.574,175042389796.977,170728296103.468,165126483271.261
 Объем транзакций cash,Дебетовые карты,1,30-39,373450978526.338,400447786053.656,378080586318.052,448509910495.071,293547185916.486,327455037743.15,358692654294.95,386205048579.175,369820312007.826,393810071258.966,421142239279.474,409961021157.607,395147704518.939
 Объем транзакций cash,Дебетовые карты,1,40-54,406120668453.295,434594439672.601,411641364312.826,498363416549.095,317995067007.113,359089571089.203,391981086930.518,422520530571.679,400828918729.822,429351334142.505,459347005820.144,450310396822.186,430143356812.221
