,,,,,,,,,,,,,,,,
Сумма по полю Значения2,,,ММГГ,,,,,,,,,,,,,
Показатель,Пол,Возраст,9 2018,10 2018,11 2018,12 2018,1 2019,2 2019,3 2019,4 2019,5 2019,6 2019,7 2019,8 2019,9 2019,Total Result
,,60-69,14568621.6600342,14507482.3312225,14560921.1777599,14603372.6620966,14667030.0868819,14645792.2089459,14657275.1015037,14647109.8707397,14718835.7924598,14777255.4504123,14875232.9696236,14953709.505949,14980386.8185398,191163025.636169
,,60-70,377062.969495854,379178.316315383,383439.784350124,381041.44808991,368932.136256949,355184.968391617,340956.214982309,340204.887774602,342787.662110777,342514.752038285,344009.320893527,347268.086703751,348924.077156554,4651504.62455964
,,От 70,10792287.4520781,10764992.7317551,10837473.4893173,10915879.8719725,11034816.026074,11066710.70381,11084638.7452421,11089023.0525112,11145739.8726246,11196970.971451,11260992.3584419,11329571.2193051,11357419.6254479,143876516.120031
,Жен Result,,96624680.1235049,96243826.9195353,96504913.2324636,96628707.7767618,96748704.4300193,96420207.1188824,96310508.5818049,96164596.629369,96607320.4684302,97047603.8615863,97872875.1177509,98488925.6644555,98811006.9253462,1260473876.84991
,,,,,,,,,,,,,,,,
,Муж,???,83025.4340996076,82840.1431464586,83812.7700019691,86287.0551984051,87332.6468407418,88235.4237267596,88795.7008883033,70890.7944688647,71784.142642717,72250.9146471501,72278.8931283369,72261.7997774914,72203.6759629929,1031999.3945298
,,0-13,381084.013369015,377998.248912125,381563.98243613,384126.531054582,391342.072773819,389660.693571932,386619.446148765,384912.771337353,384369.741390282,384288.116404213,385879.594499868,386354.15661652,385811.040495498,5004010.4090101
,,0-14,468.701535934615,470.849836711665,460.130093322862,453.326561900579,452.918463190045,452.743997538657,443.941996053683,450.552449675005,446.967483851823,462.333513860728,467.374108769778,459.61153665552,461.838445556943,5951.2900230219
,,14-21,5854372.89743424,5937117.74556893,6008391.9891877,6005256.44877817,5956817.34025298,5943469.85091413,6002874.1454744,6010304.27588962,6052953.0517731,6057026.98969336,6235774.21996849,6399233.09796836,6594620.4871835,79058212.540087
,,14-22,145055.70920822,148875.36133953,151532.747251205,153717.187765494,150562.409510943,148710.338081859,145501.989206595,145208.694345257,142731.131203301,141379.254994061,142380.614076009,144290.122767992,145045.128826993,1904990.68857746
,,22-29,10941696.4492863,10879373.9283383,10891321.9408138,10856011.5189267,10802622.7587897,10748417.0688953,10760748.0110686,10765753.1232644,10811216.0132446,10795516.7179549,10882047.1891985,10933060.0882507,10955236.0455189,141023020.853551
,,22-30,1008688.71907984,1016695.75257132,1034078.43695061,1049648.40720583,1035072.5927214,1024876.58722826,1018164.90425848,1020608.84974381,1022002.07122826,1020123.58444759,1023194.73853709,1026447.65483859,1024428.04762748,13324030.3464386
,,30-39,17353394.0369972,17303488.7172066,17363852.8883867,17457326.5911354,17494825.7789312,17485387.9568633,17518408.249294,17579360.4422346,17720138.0031565,17860685.9992997,18058915.0726786,18210377.3559808,18236207.1089519,229642368.201116
,,30-40,1499787.06891513,1515821.59338326,1543833.48733513,1563122.62980813,1547033.15499157,1531941.1016845,1520872.26170425,1536276.30216185,1554804.78302135,1568583.85223266,1589060.24883646,1609057.40601448,1620526.59469231,20200720.4847811
,,40-54,18283391.3279521,18221122.078351,18296923.2144356,18399051.1050465,18432372.8607567,18410196.4369194,18430263.6488528,18468121.6578585,18612721.8769676,18750832.610808,18957969.9734851,19117236.4384336,19155275.8786868,241535479.108554
,,40-55,1161819.14715397,1174412.79100085,1195037.23582605,1211151.11308603,1202538.09516926,1190060.96496249,1182277.40924701,1196888.22237665,1213052.28013213,1227495.47930023,1247299.8911309,1268216.53878658,1281908.11256376,15752157.2807359
,,55-59,6146956.864776,6100546.78108007,6099796.17069739,6110589.06895139,6097430.20112919,6078900.18522302,6068654.95867256,6052375.70092427,6068739.59388191,6081714.43256125,6109083.60379472,6124579.22883378,6104935.38259016,79244302.1731157
,,55-60,245854.720855627,247284.448618008,250682.697009205,253608.426852161,251173.335827538,248477.58956528,245549.57522514,247433.23159652,250613.357867588,252676.203814963,256046.290353339,260151.877006747,262105.780160826,3271657.53475294
,,60-69,9594060.87485755,9559137.47150212,9599483.91781485,9647947.41349279,9687837.98230239,9675980.45495781,9678759.14319981,9673784.03246705,9715288.1408435,9749041.58168255,9815219.63456965,9871913.96500587,9889999.07314978,126158453.685846
,,60-70,225426.156759337,227117.361549351,230556.048102868,231592.841725021,228855.74190996,224613.599501469,221362.038117781,223072.878019092,227523.920322292,229292.628964083,232226.327154659,236159.567430343,238390.742519926,2976189.85207618
,,От 70,4677174.11032423,4665907.0565746,4696436.13766756,4737038.8332676,4815464.27876962,4834561.05681368,4843221.71433549,4846653.74374399,4883750.17450301,4912117.11046368,4951247.02874438,4989899.66494641,5010302.02662285,62863772.9367771
,Муж Result,,77602256.2326043,77458210.3289793,77827763.7940101,78146928.498856,78181734.1691402,78023942.0529066,78112517.13769,78222095.2728814,78732135.249662,79103487.8107822,79959090.6942648,80649698.574195,80977456.9639992,1022997316.77997
,,,,,,,,,,,,,,,,
1.1 Активные клиенты Result,,,348738653.39228,347725458.9387,349015273.433502,349807694.527459,350155971.899032,349110709.562601,349053629.370197,348983396.475059,350925098.796818,352572892.014058,355927624.389224,358560988.851831,359878823.506706,4570456215.15747
,,,,,,,,,,,,,,,,
2.1.1 Дебетовые карты. Активные клиенты,???,???,500.82979071861,452.939345966316,424.302966045351,441.46724953252,1166.53010190922,1112.3990190656,1049.13381754322,980.083197983021,975.638250611658,946.688520913792,962.400253162699,989.155800860875,691.746168730346,10693.3144830432
,,0-13,22.4252145097885,23.6831030570623,26.6113358495342,33.7333778712557,32.3627518814664,35.1283900757559,27.8013145513545,29.0395021624599,24.755000388654,20.4216321922852,26.4476405449291,20.6381240120004,26.4924064620133,349.539793558559
,,14-21,587.540620156459,509.186715726839,536.661939632273,608.667470285701,676.675721157935,668.903094359185,664.305095069207,647.580898222856,659.647951532957,590.768645562536,577.440151897619,630.936934081154,702.048771243351,8060.36400892807
,,22-29,814.782793855649,738.61677659213,706.678807559853,759.734336404802,888.504642563897,854.790825176727,861.840751091989,833.433712062599,821.283542305933,735.178758922267,717.024921440301,847.637236207159,1021.42944914651,10600.9365533298
,,30-39,608.470820365595,624.641843130017,573.622128312182,664.400877203428,753.16949833231,752.333020789105,673.084457559108,644.67694800661,652.367069065706,729.344006867328,728.779428349158,770.981347019729,794.772193860397,8970.64363886067
,,40-54,642.856149280604,615.760679483619,589.884611331341,684.934237646801,791.416386919497,787.461410864861,676.010911722409,624.349296492888,617.4188332229,675.372550359146,696.4545343498,742.972464432014,780.05419027039,8924.94625637627
,,55-59,210.797016392012,196.86579416183,184.800943399543,206.800273036828,241.249604934568,248.826096369938,245.822149717239,227.96009197531,215.514121030635,231.93139418381,224.804944631898,232.915970992576,220.77005385011,2889.0584546763
,,60-69,156.97650156852,164.30152745837,147.840754719634,203.866935830632,250.07580999315,272.245023087108,247.28537679889,227.96009197531,200.952356096133,210.05107397779,223.33563126829,234.390122707719,206.052050260103,2745.33325574165
,,От 70,80.7307722352386,75.489890994386,81.312415095799,110.000145232356,117.682734114423,118.558316505676,102.425895715516,100.186282460487,97.5638250611658,107.942913016365,113.137128997752,109.087226920573,88.3080215400442,1302.42556788978
,??? Result,,3625.40967908247,3401.48567657057,3271.71590194551,3713.60490304432,4917.66725180647,4850.64519629396,4547.70976976893,4315.27002134154,4265.14094931574,4247.69949599532,4269.82463464245,4578.7152272338,4531.67330536327,54536.5620124044
,,,,,,,,,,,,,,,,
,Totals,0-13,35.8803432156616,34.044460644527,34.0033735855159,29.3333720619615,32.3627518814664,24.8826096369938,17.5587249798028,17.4237012974759,17.4741179214028,18.9629441785505,19.1010737268933,20.6381240120004,20.6052050260103,322.270802168262
,,14-21,19314.0897501305,26732.302575659,31195.8776533901,13917.2183747976,13380.5268688099,10147.713683134,12020.4104757567,15383.6762705631,19125.4220649754,21374.1554652539,22048.5163342892,24677.2997114919,26627.8120950413,255945.021323293
,,22-29,34652.9364748258,41720.7464228973,47272.0813216031,27649.6365056049,26971.4116248494,20220.779537357,21600.1581793208,27475.7249710114,34533.2255421724,39259.1292016545,41177.5070150911,44466.31233557,45503.6516992258,452503.300831183
,,30-39,14893.3324631009,17223.5366982485,19213.3844833637,13180.9507360424,13014.2393588788,10014.5185374301,10206.0088945104,12370.8279212079,15358.2934764196,17084.1540168603,17440.7496260172,18855.8745883926,19062.7582497775,197918.62905025
,,40-54,15598.9792130089,17534.3774258725,19398.1854267632,15048.0198677862,15126.6444362327,11647.9886759527,11220.025262094,12945.8100640246,15697.5825993936,17564.062373379,17931.5002894619,19314.3357718021,19232.0152910626,208259.526696834
,,55-59,3659.79500799748,3881.06851347608,4173.54450573528,3710.67156583813,3609.91786895994,2513.14357333637,2036.81209765713,2297.02462105058,2746.34886664715,3085.1251490488,3181.06343220953,3277.03926276263,3255.62239410963,41427.1768588287
,,60-69,5404.47669685903,5530.00456382404,5789.44395482089,5683.34083700504,5472.24713632069,3467.46483706107,2352.86914729358,2538.05248899899,2924.00239884807,3204.73756617504,3092.9046303931,3069.18387092749,2861.17989789743,51389.9080264245
,,Totals,134207589.251068,133941706.190369,134480855.849221,134573351.476172,136235265.631042,135788927.960346,136142712.521571,136201067.234469,137233945.716046,137988299.185473,139982405.410334,141330670.750256,142126893.424914,1780233690.60128
,,От 70,3426.57277709568,3434.04994327403,3459.47366043945,3477.47125794553,3417.21239184757,1923.27935664763,932.0756510112,936.523944739331,1058.64031073832,1105.68551441087,1065.2521886152,1052.54432461202,1024.37304986451,26313.1543712414
,Totals Result,,134304575.313794,134057796.320973,134611391.843601,134656048.118689,136316290.19348,135848887.731156,136203098.440003,136275032.298452,137325406.705424,138090995.197704,140088362.004924,141445403.978246,142244481.442796,1781467769.58924
,,,,,,,,,,,,,,,,
,Жен,???,22162.0919928736,23256.8072020351,23988.6408608079,25508.3003450817,31222.700394733,31855.5950670313,32081.2537651814,32842.224970634,33419.2505246829,33522.1092436361,33773.6369758745,33676.9959324392,33661.5460107058,390971.153285717
,,0-13,3529.72876384071,3656.07903443399,3354.50672458851,3194.40421754761,4346.90599135152,4152.46844353831,4120.44746192706,4257.19101701662,4238.92977243364,4298.75357647603,3818.74543201504,3548.28317834892,4321.20585402616,50837.6494675441
,,0-14,2.99002860130513,2.96038788213278,2.95681509439269,5.8666744123923,5.88413670572117,5.85473167929265,2.92645416330047,1.45197510812299,1.45617649345024,2.91737602746931,5.8772534544287,8.84491029085731,10.3026025130052,60.2895224258709
,,14-21,4964837.84146613,5027999.74909926,5039744.96604517,5028888.37293642,5049901.45599414,5038688.9320524,5053780.0250014,5068114.75897799,5117432.31387321,5211323.38474857,5348522.50984802,5463344.82658075,5615205.37065781,67027784.5072813
,,14-22,112202.318278276,114962.222820803,115797.749541701,115743.619482088,112394.366250157,110603.199836437,108831.903878981,108770.35929971,108410.883760877,108697.054719465,111397.461975242,115156.309531817,117539.448470158,1460506.89784571
,,22-29,9362498.65256498,9269729.35786769,9250356.10580375,9185754.26121486,9240195.26478618,9160300.012275,9128985.96879092,9066595.75517947,9068349.3061968,9057756.77110966,9117142.31646361,9129675.12597489,9112279.55726223,119149618.45549
,,22-30,469165.387830789,468818.866566076,471953.519699036,475829.828234505,473216.984215861,471474.223718838,473090.580039154,477638.827617924,482182.266099683,487058.845162029,495850.650129877,504002.152345346,509579.966496466,6259862.09815558
,,30-39,16255553.6135123,16189937.991917,16232261.41208,16203691.6602776,16417206.2557618,16368702.739454,16402155.1770165,16372949.0190055,16472486.9203831,16551718.304967,16757778.9804052,16872400.5073645,16920991.4237589,214017834.005903
,,30-40,686329.67012928,690745.824344101,700054.063340866,709838.270527406,713984.08994056,716202.007913271,722071.837025676,731214.66445074,743877.568443599,757206.406617674,775967.896334766,793625.791516038,806156.569637268,9547274.66022125
,,40-54,18206324.5187331,18154824.3993735,18224211.5616856,18218520.3204406,18451159.6094525,18393648.0480296,18430360.5729794,18418783.3983259,18557085.1166407,18675834.9928712,18942774.3130383,19105828.8049088,19188064.3887421,240967420.045221
,,40-55,582622.023107312,587419.406094021,594841.711837091,604151.597656762,607601.840369474,609414.629448812,613968.620233357,623690.0997938,635970.521749456,649763.82359002,670202.312482231,689705.466357041,704025.399125489,8173377.45184487
,,55-59,7729161.14377314,7657925.45272532,7642752.00146547,7595636.16179402,7635376.41414626,7571257.04141774,7540415.92887236,7475705.83253703,7477630.84181072,7469171.13106392,7517484.69505747,7528814.17430861,7509929.03461777,98351259.8535898
,,55-60,122758.614255184,123054.443096613,123880.203602223,124900.031571229,124643.667837292,124003.216967418,124264.559909146,125651.021906748,128035.774363106,129804.270278206,133534.137111347,136622.906807727,139145.477740289,1660298.32544653
,,60-69,10654506.4563462,10658496.1597762,10736912.6354002,10760551.5404077,10906813.7322121,10886664.2509871,10925208.4167748,10940511.9257728,11043898.8133894,11118753.1112835,11268672.5679272,11376230.7445426,11439368.1254844,142716588.480304
,,60-70,114289.358241987,115515.815354762,116807.501896436,118194.422717864,118227.016759703,117694.74358298,117707.839356272,119532.398801117,121663.546027767,123496.903306817,126816.436412935,130721.87749201,134101.617909993,1574769.47786064
,,От 70,3958495.87523926,3997084.63438292,4066068.71227675,4118544.77101669,4200392.45841323,4214193.41595017,4245762.61888083,4286548.50172776,4349156.50828185,4394975.93130204,4474569.04392102,4546761.51465636,4606292.11176424,55458846.0978131
,Жен Result,,73244440.2842633,73083430.1700427,73342988.2490748,73288953.4295148,74086688.6466621,73818860.3798761,73922808.6764401,73852807.4313592,74343840.017494,74773384.7112162,75778311.5807686,76430124.3264076,76840671.5461344,966807309.449254
,,,,,,,,,,,,,,,,
,Муж,???,18406.6160696344,18983.4872941765,19390.7933890273,20533.360443373,24645.7065919131,24933.8385391876,25062.1534545052,25686.8916378039,26129.630998471,26486.8569533939,26469.6802453832,26559.7914517294,26564.5246796043,309853.331748203
,,0-13,5527.06786951254,5555.16786082217,5264.60927556618,5061.00668068836,6743.22066475646,6443.13221306156,6392.83911972988,6533.88798655348,6428.56304208934,6415.30988440502,5850.80581388377,5503.00835262839,6518.60379001426,78237.2225537114
,,0-14,221.26211649658,205.746957808228,189.236166041132,177.466900974867,179.466169524496,169.787218699487,158.028524818225,136.485660163562,126.687354930171,141.492737332262,139.584769542682,144.466868084003,141.292834464071,2131.00427887976
,,14-21,5230534.7730067,5262711.14194627,5289836.82195154,5368241.75431545,5449600.56517454,5426583.9336835,5488465.28382848,5489482.29128061,5539885.13256455,5540031.43520361,5732288.05934848,5895406.90107541,6074674.95033138,71787743.0437105
,,14-22,107872.756863586,110588.249724952,112024.853481256,112480.281840194,109434.645487179,107746.090776942,106340.028158931,107704.609570347,107695.901102593,108166.092282466,110862.631910888,114622.666610935,116347.290179367,1431886.09798964
,,22-29,9280410.40734476,9175504.65216123,9163450.87495691,9157097.02337892,9272143.18502989,9215136.89286617,9245081.33190321,9242952.65181209,9294842.99798805,9271280.98124816,9371357.03738146,9417052.1579317,9428722.52164882,120535032.715651
,,22-30,522825.936124111,521821.651207782,527183.868847197,534405.638905036,533043.944171281,532454.18152451,535072.879217858,542409.985216183,549518.779509809,555513.614958583,566364.467762748,576502.407847788,582191.237207767,7079308.59250065
,,30-39,14510994.5158234,14485401.4165608,14541168.6767364,14563898.9619384,14787675.501992,14767723.4343856,14826742.4750162,14871017.2553124,15007054.9691405,15117129.2759073,15337379.0586725,15475376.4099578,15513092.2209449,193804654.172388
,,30-40,839159.002027789,844375.153487382,858446.212724841,874055.287341885,881242.146834861,887114.798778101,896956.737824513,912794.315547277,930595.799316256,946663.723217559,970225.816137271,991791.584127551,1006751.1841662,11840171.7615315
,,40-54,15068198.305791,15041023.2964128,15114994.8252901,15149244.9347663,15367891.0990989,15333425.1734339,15377482.1265972,15409768.2632561,15546600.3958467,15660925.2500515,15893542.0837517,16045641.6818989,16099840.1520642,201108577.588259
,,40-55,663506.781815518,669253.408319817,680499.1667141,694800.517339841,700219.623151701,704195.416921961,712813.999280075,726061.604792012,740640.488098659,755714.168779623,777199.180933469,797297.903438459,811325.532498079,9433527.79208331
,,55-59,5020419.48313579,4992765.21252611,4997378.24096516,4991561.65698758,5038227.32876999,5015403.20048093,5011824.91488924,4998081.64358789,5018894.30673792,5027029.82371731,5069560.14394692,5086448.45757017,5078367.66151265,65345962.0748277
,,55-60,141278.851411668,142104.539118138,143888.971345979,146718.193710916,147324.072769494,147747.08129279,148583.394006173,150267.807889865,152496.627100083,154615.094703819,158224.478873402,161978.316308185,164431.007907921,1959658.43643843
,,60-69,7429407.7864637,7425757.03306906,7474342.16254169,7482074.94519334,7588343.03842325,7570387.61376337,7590250.5168192,7583644.21009978,7636936.55019418,7675922.65275465,7770416.7054089,7842294.01068546,7877989.50939488,98947766.7348115
,,60-70,109050.8281325,110524.601385486,112474.289375604,114422.151070696,115245.230484078,115123.052692851,115957.819766618,117654.994986314,119892.835411732,121578.728568756,124494.921298436,127798.634640882,130455.968420748,1534674.0562347
,,От 70,1914723.12040347,1932209.64601348,1963526.28610316,1983214.61842318,2040675.97987698,2050669.53589152,2067785.6885215,2085782.57047019,2116639.90381953,2140356.26156108,2179492.75408643,2216816.08186643,2246688.53001103,26938580.977048
,Муж Result,,60862537.4943996,60738784.4040462,61004059.8898647,61197987.7992368,62062634.7546904,61905257.164463,62154970.2169282,62269979.4691056,62794379.568226,63107970.7625295,64093867.4103414,64781234.4806321,65164102.187592,812137765.602055
,,,,,,,,,,,,,,,,
2.1.1 Дебетовые карты. Активные клиенты Result,,,268415178.502136,267883412.380739,268961711.698442,269146702.952343,272470531.262084,271577855.920692,272285425.043141,272402134.468938,274467891.432093,275976598.370945,279964810.820669,282661341.500513,284253786.849828,3560467381.20256
,,,,,,,,,,,,,,,,
2.1.3.1 Дебетовые карты. Объем транзакций cash,???,???,1131056.0591873,1531112.61263908,2479966.56730489,814442.541968964,318920.209450087,661006.525006739,858904.054339116,371033.363204426,459278.066034205,372028.167086928,289307.801294253,198273.405686718,297325.749523534,9782655.12272623
,,0-13,1463619.00033886,1413585.2137184,1938192.29437441,1814269.06203232,1115922.37792364,1260230.99396774,1219307.12713914,1046874.05295668,1131449.13541083,1129899.73543887,1130636.63329572,1382017.23294645,1157718.16238998,17203721.0219331
,,14-21,2734244.48168618,2570253.07627428,3154108.58156604,4428178.11902857,1795215.27406129,2678281.75437857,2350146.12670349,2774840.718872,2788043.52449881,5068806.01560805,2828107.56096682,2376348.69200061,2924844.68591955,38471418.6115643
,,22-29,15368477.0408914,10607268.2388028,10077836.8610403,13410132.3448585,10567204.0873295,9437043.82958297,8500192.5884187,10625735.0668456,9197733.42368919,10985589.2625687,10620354.9902544,7072879.34878327,7423296.98771993,133893744.070785
,,30-39,18570527.8241385,17461040.7054481,15478908.3908115,16637959.9852561,13639475.3404449,11174450.490847,10948270.8949081,11822792.2172718,12061803.8624797,12782249.7134112,14678514.7700992,13034618.1937357,13315412.8818942,181606025.270746
,,40-54,16444964.2626793,14752194.7993214,15801605.7879407,21395885.7208253,14404227.8488205,14923976.3430462,13024073.1948332,17533696.3977794,15345312.7551129,15821318.7331054,16336525.1346555,20905092.8728712,17593937.1443867,214282810.995378
,,55-59,4832810.98995754,4248479.6335843,3975027.01538545,4421064.38376436,3231200.12023796,3039630.31959676,3824208.24282632,3643490.50596671,4393430.09838871,4266757.18196036,4261008.7544608,6841297.47296063,6081161.30697553,57059566.0260654
